Category,Tool,Type,Website,What it does,Approx cost (Jun 2026),Works with Claude?,Pros,Cons,Best for,Integration /10,Cost value /10,Functionality /10,Overall
AI Coding Assistants,Claude Code,Paid,claude.com/claude-code,"Anthropic's agentic coding tool: terminal, IDE, web and GitHub integration",Included with Pro/Max ($20-200/mo) or API usage,"Native — built on Claude; MCP, hooks, subagents",State-of-the-art agentic coding; works in real repos end-to-end,Terminal-first UX has a learning curve; token costs on API,Professional developers and teams,10,7,10,9.0
AI Coding Assistants,Cursor,Freemium,cursor.com,"AI-first VS Code fork with agent mode, tab completion and codebase chat",Free tier; Pro $20/mo; Ultra $200/mo,Yes — Claude models are first-class choices,Polished IDE experience; great tab model; multi-model,Pricing/limits change often; IDE lock-in,Developers wanting AI deeply in the IDE,9,7,9,8.3
AI Coding Assistants,GitHub Copilot,Freemium,github.com/features/copilot,AI pair programmer in VS Code/JetBrains plus coding agent on GitHub,Free tier; Pro $10/mo; Pro+ $39/mo,Yes — Claude Sonnet/Opus selectable models,Cheap; ubiquitous IDE support; GitHub-native agent,Agent less capable than dedicated tools; tied to GitHub,Developers on GitHub wanting low-cost AI,9,9,8,8.7
AI Coding Assistants,Windsurf,Freemium,windsurf.com,Agentic AI IDE (Cascade) with deep codebase awareness,Free tier; Pro $15/mo,Yes — Claude models available,Strong agent flows; cheaper than Cursor,Smaller ecosystem; ownership changes caused churn,Developers wanting an agentic IDE on a budget,8,8,8,8.0
AI Coding Assistants,Replit,Freemium,replit.com,Browser IDE with Replit Agent that builds and deploys full apps from prompts,Free; Core $25/mo + usage,Yes — Agent is powered by Claude models,Idea-to-deployed-app in one place; zero setup,Usage costs balloon on big builds; platform lock-in,Non-experts and rapid prototypers,8,6,8,7.3
AI Coding Assistants,Lovable,Paid,lovable.dev,Prompt-to-full-stack web app builder (React + Supabase),From $25/mo + credits,Yes — built on Claude under the hood,Fastest way to working web apps; clean code export,Credit burn on iterations; web apps only,Founders and marketers shipping MVPs,7,6,8,7.0
AI Coding Assistants,Bolt.new,Freemium,bolt.new,StackBlitz's in-browser AI app builder with instant preview/deploy,Free tier; from $20/mo + tokens,Yes — Claude-powered generation,Instant in-browser full-stack; open-source core,Token-hungry; complex apps hit limits,Rapid prototyping of web apps,7,7,7,7.0
AI Coding Assistants,v0 by Vercel,Freemium,v0.dev,Generative UI/app builder producing React/Next.js + shadcn code,Free tier; Premium $20/mo,No — uses Vercel's own model stack,Best-in-class UI generation; Vercel deploy path,Frontend/Next.js-centric,Frontend devs and designers on Vercel,6,7,8,7.0
AI Coding Assistants,Tabnine,Paid,tabnine.com,Privacy-focused enterprise code completion; self-host options,Dev $9/mo; Enterprise $39/user/mo,Yes — Claude among selectable chat models,Strong privacy/compliance story; air-gapped option,Completions trail frontier rivals,Regulated enterprises,7,7,6,6.7
AI Coding Assistants,Qodo,Freemium,qodo.ai,"AI code review, test generation and PR agents (formerly Codium)",Free; Teams $30/user/mo,Yes — Claude models supported,Excellent PR review/test focus; quality-first,Narrower than full coding agents,Teams improving code review & test coverage,7,7,7,7.0
AI Coding Assistants,AskCodi,Freemium,askcodi.com,"Budget AI coding assistant: completion, chat, translation in IDEs",Free; Premium from $15/mo,Partial — multi-model via providers,Cheap; broad language support,Far less capable than leaders,Students and hobbyists,4,8,5,5.7
AI Coding Assistants,Codiga,Paid,codiga.io,Static analysis + code snippets (acquired by Datadog; sunset as standalone),Discontinued — folded into Datadog Code Analysis,No,Was good at custom rules,Product discontinued — use Datadog or alternatives,(Legacy) Datadog customers,2,3,3,2.7
AI Coding Assistants,Aider,Open source (GitHub),github.com/Aider-AI/aider,Terminal pair-programming agent that edits your git repo,Free + your API costs,Yes — works great with Claude API,"Free, scriptable, git-native; model-agnostic",No GUI; you manage API keys/costs,CLI-comfortable devs wanting a free Claude Code-style tool,9,9,8,8.7
AI Coding Assistants,Cline,Open source (GitHub),github.com/cline/cline,"Autonomous coding agent extension for VS Code (plan/act, MCP)",Free + API costs,Yes — Claude is the recommended model; MCP support,Free agentic coding in VS Code; transparent diffs,API costs add up; needs supervision,Developers wanting a free Cursor-agent alternative,9,9,8,8.7
AI Coding Assistants,Roo Code,Open source (GitHub),github.com/RooCodeInc/Roo-Code,"Cline fork with modes, profiles and more team controls",Free + API costs,Yes — Claude models fully supported,Highly configurable agent modes,Same API-cost caveats; fast-moving project,Power users of VS Code agents,8,9,8,8.3
AI Coding Assistants,Continue,Open source (GitHub),github.com/continuedev/continue,Open-source AI assistant for VS Code/JetBrains; custom models & rules,Free; Teams hub plans,Yes — Anthropic provider built in,IDE-agnostic; team-shareable assistants,Less agentic than Cline/Cursor,Teams standardising AI across IDEs,8,9,7,8.0
AI Coding Assistants,OpenHands,Open source (GitHub),github.com/All-Hands-AI/OpenHands,Autonomous software-engineering agent platform (ex-OpenDevin),Free self-host; cloud from $20,Yes — Claude recommended driver model,"Full SWE agent: browse, code, run; research-grade",Heavy setup; supervision needed,Teams experimenting with autonomous dev agents,8,9,8,8.3
AI Coding Assistants,Tabby,Open source (GitHub),github.com/TabbyML/tabby,Self-hosted AI code completion server (GPU) — OSS Copilot alternative,Free (self-host),No — serves local models,Fully private completions; team server,Needs GPU; below frontier quality,Enterprises needing on-prem completion,6,9,6,7.0
AI Writing & Grammar,Grammarly,Freemium,grammarly.com,"Grammar, tone and AI writing assistance everywhere you type",Free; Pro $12/mo,No,Works in every app; trusted; strong grammar engine,AI features basic vs LLM chats; subscription creep,Everyone writing professionally,8,7,8,7.7
AI Writing & Grammar,QuillBot,Freemium,quillbot.com,"Paraphrasing, summarising, grammar and AI detection toolkit",Free; Premium $9.95/mo,No,Best-known paraphraser; cheap; good summaries,Can produce formulaic text,Students and ESL writers,6,8,7,7.0
AI Writing & Grammar,Jasper,Paid,jasper.ai,Marketing-focused AI writing platform with brand voice and campaigns,Creator $39/mo; Pro $59/mo,Yes — uses Anthropic models among its engine mix,Strong brand-voice controls; marketing templates,Expensive vs raw chatbots,Marketing teams at scale,7,5,8,6.7
AI Writing & Grammar,Copy.ai,Freemium,copy.ai,GTM-focused AI for copy plus sales/marketing workflow automation,Free; Starter $49/mo,Yes — Claude among selectable models,Workflow automation beyond copy; multi-model,Pivoted upmarket; copy features now secondary,Sales/marketing ops teams,7,6,7,6.7
AI Writing & Grammar,Writesonic,Freemium,writesonic.com,SEO-aware AI article writing and marketing content suite,Free trial; from $39/mo,Yes — multi-model incl. Claude,SEO research baked in; article quality decent,Credit limits; busy UI,SEO content teams,6,6,7,6.3
AI Writing & Grammar,Rytr,Freemium,rytr.me,Budget short-form AI copywriting in 40+ use cases,Free; Unlimited $9/mo,No,Very cheap; simple,Short-form only; dated model quality,Solopreneurs on a budget,4,9,5,6.0
AI Writing & Grammar,Sudowrite,Paid,sudowrite.com,AI co-writer built specifically for fiction authors,From $19/mo,Yes — Claude models power much of it,Purpose-built fiction tools (Story Engine),Niche; credits model,Novelists and fiction writers,6,6,8,6.7
AI Writing & Grammar,JotBot,Freemium,myjotbot.com,"AI note-taking, drafting and citation tool for students",Free; from $14/mo,No,Cites sources; academic focus,Niche; quality varies,Students writing papers,4,7,5,5.3
AI Writing & Grammar,Quarkle,Freemium,quarkle.ai,AI developmental editor for long-form and fiction writers,Free; ~$12/mo,No,Editing-focused (not just generation),Small product; limited integrations,Self-editing authors,4,7,5,5.3
AI Writing & Grammar,LanguageTool,Open source (GitHub),github.com/languagetool-org/languagetool,"Open-source grammar/style checker, 30+ languages, self-hostable",Free; Premium $5/mo; self-host free,No,Open source; multilingual; privacy via self-host,Weaker than Grammarly for tone/AI rewrite,Privacy-conscious and multilingual writers,6,9,7,7.3
AI Writing & Grammar,Harper,Open source (GitHub),github.com/Automattic/harper,"Fast, private, local grammar checker (Rust) from Automattic",Free,No,"Instant, offline, no data leaves device",English only; grammar only,Developers and privacy-first writers,5,10,5,6.7
AI Image Generation,Midjourney,Paid,midjourney.com,Leading artistic text-to-image generation (web + Discord),From $10/mo,No,Best aesthetic quality; strong community,No free tier; weak API story,"Designers, artists, creatives",6,6,10,7.3
AI Image Generation,DALL-E / GPT Image,Freemium,openai.com/dall-e,OpenAI image generation inside ChatGPT (4o image model),With ChatGPT Free/Plus $20/mo,No,Great instruction-following & text rendering,Tied to ChatGPT; style less artistic,ChatGPT users needing quick images,6,7,8,7.0
AI Image Generation,Adobe Firefly,Freemium,adobe.com/products/firefly,Commercially-safe image gen integrated with Photoshop/Express,Free credits; from $9.99/mo or CC plans,No,Trained on licensed content; Adobe app integration,Less creative range,Brands needing commercially-safe images,7,6,7,6.7
AI Image Generation,FLUX.1 (BFL),Freemium,bfl.ai,Black Forest Labs' frontier image models (Pro via API; open variants),API per-image; open weights free,No,Photorealism leader; open-weight options,API-first; no consumer app,Developers embedding image gen,7,7,9,7.7
AI Image Generation,Ideogram,Freemium,ideogram.ai,Image generation with industry-best text/typography rendering,Free; from $8/mo,No,Best text-in-image; cheap,Less photorealistic than FLUX,"Posters, logos, social graphics",5,8,8,7.0
AI Image Generation,Recraft,Freemium,recraft.ai,Design-grade image/vector/SVG generation with brand styles,Free; from $12/mo,No,Vector & brand-style output (rare),Smaller community,Designers needing editable vector AI art,6,7,8,7.0
AI Image Generation,Stable Diffusion (Stability AI),Freemium,stability.ai,Open-weight image model family (SD 3.5) usable anywhere,Free weights; API/credits,No,Open weights; fine-tunable; huge ecosystem,DIY quality depends on setup,Tinkerers and fine-tuners,6,9,8,7.7
AI Image Generation,Leonardo.ai,Freemium,leonardo.ai,Game/creative asset generation platform on fine-tuned models,Free; from $12/mo,No,Great presets & control; generous free tier,Now Canva-owned; credit system,Game artists and creators,6,7,8,7.0
AI Image Generation,ComfyUI,Open source (GitHub),github.com/comfyanonymous/ComfyUI,Node-based open-source pipeline for SD/FLUX image & video workflows,Free (self-host),Partial — community MCP servers let Claude drive it,Total control; free; industry standard for advanced gen,Steep learning curve; needs GPU,Power users building repeatable pipelines,7,10,9,8.7
AI Image Generation,AUTOMATIC1111 WebUI,Open source (GitHub),github.com/AUTOMATIC1111/stable-diffusion-webui,Classic browser UI for Stable Diffusion with huge extension library,Free (self-host),No,Massive extension ecosystem; well documented,Aging vs ComfyUI; GPU needed,Hobbyists starting local image gen,5,10,7,7.3
AI Image Generation,Fooocus,Open source (GitHub),github.com/lllyasviel/Fooocus,"One-click, Midjourney-style local image generation (minimal knobs)",Free (self-host),No,Easiest local quality; offline,Less flexible; maintenance slowed,Beginners wanting local Midjourney-like output,4,10,6,6.7
AI Image Generation,InvokeAI,Open source (GitHub),github.com/invoke-ai/InvokeAI,Polished open-source creative studio for diffusion models,Free; paid cloud,No,Pro UI; canvas/inpainting workflows,GPU needed,Artists wanting a polished local studio,5,10,7,7.3
AI Video Generation,Sora,Paid,sora.com,OpenAI's text-to-video with cameo/remix social app,With ChatGPT Plus/Pro,No,Top-tier realism; storyboard tools,Access/usage limits; content restrictions,Creators on ChatGPT plans,6,6,9,7.0
AI Video Generation,Google Veo,Paid,deepmind.google/models/veo,"Google's flagship video model (Veo 3) with native audio, in Gemini/Flow",Gemini AI Pro $20/mo; Ultra $250/mo,No,Native audio + dialogue; best physics,Expensive at scale; watermarks/limits,Filmmakers and ad creatives,6,5,10,7.0
AI Video Generation,Runway,Freemium,runwayml.com,"Pro AI video suite (Gen-4): gen, edit, motion control",Free; Standard $15/mo; Pro $35/mo,No,Pro editing toolchain around gen; film-industry traction,Credits drain fast,Video professionals,6,6,9,7.0
AI Video Generation,Kling,Freemium,klingai.com,"Kuaishou's high-quality video model, strong motion realism",Free credits; from $10/mo,No,Excellent quality/price; long clips,Chinese platform — data considerations,Cost-conscious video creators,5,8,9,7.3
AI Video Generation,Luma Dream Machine,Freemium,lumalabs.ai,"Fast, accessible text/image-to-video (Ray models)",Free; from $9.99/mo,No,Easy; good image-to-video; API,Shorter clips; less control,Social content creators,5,7,8,6.7
AI Video Generation,Pika,Freemium,pika.art,Playful video generation with effects (Pikaffects),Free; from $10/mo,No,Fun effects; easy remixing,Less realistic than leaders,Social/meme video makers,4,7,7,6.0
AI Video Generation,Haiper,Freemium,haiper.ai,Budget text-to-video platform,Free; from $10/mo,No,Cheap entry point,Quality behind leaders; uncertain roadmap,Experimenting on a budget,3,7,6,5.3
AI Video Generation,LTX Studio,Paid,ltx.studio,Lightricks' AI filmmaking studio: script-to-storyboard-to-video,From $15/mo,No,End-to-end narrative pipeline; open LTX-Video model,Heavier tool to learn,Storytellers and agencies,5,6,8,6.3
AI Video Generation,Krea,Freemium,krea.ai,Real-time AI image/video generation and enhancement playground,Free; from $10/mo,No,Real-time canvas; multi-model hub,Jack-of-all-trades,Designers exploring gen models,5,7,8,6.7
AI Video Generation,Descript,Freemium,descript.com,Edit video/podcasts by editing the transcript; AI voices & eye contact,Free; Hobbyist $24/mo,No,Transcript-editing is magic for talking-head content; Underlord AI,Not a generator; performance on long projects,Podcasters and course creators,6,7,8,7.0
AI Video Generation,InVideo AI,Freemium,invideo.io,Prompt-to-finished marketing/social video with stock + voiceover,Free; from $28/mo,No,Full videos (script+stock+VO) from one prompt,Template feel; watermark on free,SMB marketing videos,5,6,7,6.0
AI Video Generation,Synthesia,Paid,synthesia.io,AI avatar presenter videos in 140+ languages for training/comms,Free demo; Starter $29/mo,No,Best avatars; no camera needed; enterprise-ready,Avatars feel corporate; per-minute limits,L&D and internal comms teams,6,5,8,6.3
AI Video Generation,HeyGen,Freemium,heygen.com,"AI avatars, video translation and lip-synced dubbing",Free; Creator $29/mo,Partial — API + Zapier; community MCP,Best video translation/dubbing; fast avatar cloning,Credits; uncanny edge cases,Marketers localising video,6,6,8,6.7
AI Video Generation,OpusClip,Freemium,opus.pro,"Turns long videos into ranked, captioned viral short clips",Free; from $15/mo,No,Huge time-saver for shorts; virality scoring,Clip choices need review,Podcasters repurposing to Shorts/TikTok,5,7,7,6.3
AI Video Generation,LTX-Video,Open source (GitHub),github.com/Lightricks/LTX-Video,Open-weight real-time video generation model (runs on consumer GPUs),Free (self-host),No,Fast open model; commercial-friendly license,Below closed SOTA quality; GPU needed,Developers embedding video gen,5,10,7,7.3
AI Video Generation,HunyuanVideo,Open source (GitHub),github.com/Tencent-Hunyuan/HunyuanVideo,Tencent's open-weight 13B video generation model,Free (self-host),No,Near-commercial quality open weights,Big GPU requirements,Researchers and GPU-rich tinkerers,4,9,7,6.7
AI Video Generation,Wan 2.x,Open source (GitHub),github.com/Wan-Video/Wan2.1,Alibaba's open video model family; strong i2v; runs in ComfyUI,Free (self-host),No,Top open-source video quality; active community,GPU heavy; Chinese-origin considerations,Local video generation enthusiasts,4,9,8,7.0
AI Video Generation,Open-Sora,Open source (GitHub),github.com/hpcaitech/Open-Sora,Fully open-source video generation training/inference stack,Free (self-host),No,Fully open incl. training code,Research-grade output,Researchers training video models,3,9,5,5.7
AI Voice & Audio,ElevenLabs,Freemium,elevenlabs.io,"Best-in-class TTS, voice cloning, dubbing and conversational agents",Free; from $5/mo,Yes — official ElevenLabs MCP server works with Claude,Most realistic voices; agent platform; MCP,Costs scale fast with usage,"Creators, app builders, audiobooks",9,7,10,8.7
AI Voice & Audio,Murf AI,Paid,murf.ai,Studio-style voiceover platform for business content,From $19/mo,No,Easy studio editor; team features,Less natural than ElevenLabs,Corporate e-learning voiceovers,5,6,7,6.0
AI Voice & Audio,Suno,Freemium,suno.com,Full-song AI music generation (vocals + instruments) from prompts,Free; Pro $10/mo,No,Astonishing full songs; easy,Licensing questions; style ceiling,Content creators needing custom music,4,7,9,6.7
AI Voice & Audio,Udio,Freemium,udio.com,"High-fidelity AI music generation, strong on audio quality",Free; from $10/mo,No,Audio fidelity; remix tools,Smaller user base; same licensing caveats,Musicians sketching ideas,4,7,8,6.3
AI Voice & Audio,Adobe Podcast,Freemium,podcast.adobe.com,One-click studio-quality speech enhancement in the browser,Free; Express/CC plans,No,Magic noise/echo removal; free tier,Enhancement only,Anyone recording voice on cheap mics,4,8,7,6.3
AI Voice & Audio,Whisper,Open source (GitHub),github.com/openai/whisper,OpenAI's open-source speech-to-text — the standard for transcription,Free (self-host),Partial — pairs with Claude for summarisation pipelines,Free accurate multilingual STT; runs locally,No diarisation out of box; GPU helps,Developers building transcription anything,7,10,8,8.3
AI Voice & Audio,Coqui XTTS,Open source (GitHub),github.com/coqui-ai/TTS,Open-source multilingual TTS with voice cloning,Free (self-host),No,Free voice cloning; 16 languages,Project archived (community forks); setup work,Self-hosted TTS builders,4,9,6,6.3
AI Voice & Audio,Piper,Open source (GitHub),github.com/rhasspy/piper,"Fast, lightweight local neural TTS (runs on a Raspberry Pi)",Free,No,"Tiny, fast, offline",Robotic vs ElevenLabs,Home-automation and embedded voice,4,10,5,6.3
AI Voice & Audio,Kokoro TTS,Open source (GitHub),github.com/hexgrad/kokoro,Tiny (82M) Apache-licensed TTS with surprisingly natural voices,Free,No,"Near-commercial quality, Apache 2.0, runs anywhere",English-centric; no cloning,Apps needing free embedded natural TTS,5,10,7,7.3
AI Presentations,Gamma,Freemium,gamma.app,Prompt-to-deck/doc/website with modern card-based design,Free; Plus $10/mo; Pro $20/mo,Partial — API (beta) + Zapier; paste Claude outlines,Best-looking instant decks; also docs & sites,Card format ≠ classic PPT; export quirks,Anyone making decks fast,7,8,9,8.0
AI Presentations,Beautiful.ai,Paid,beautiful.ai,Slide tool with smart templates that auto-apply design rules,Pro $12/mo; Team $40/user/mo,No,Designs stay on-grid automatically; DesignerBot,No free tier; rigid templates,Consultants and sales teams,5,6,7,6.0
AI Presentations,Pitch,Freemium,pitch.com,Collaborative presentation software with AI generation and analytics,Free; Pro $22/mo,No,Real-time collaboration; sharing analytics,AI secondary to collaboration,Startup and sales teams,5,6,7,6.0
AI Presentations,Plus AI,Paid,plusai.com,AI deck generation inside Google Slides and PowerPoint,From $10/mo,No,Lives in Slides/PPT — no new tool to learn,Add-on constraints,Teams locked into Google Slides/PPT,6,7,7,6.7
AI Presentations,Tome,Paid,tome.app,AI storytelling decks (since pivoted toward sales intelligence),Pro ~$20/mo,No,Beautiful narrative format,Pivoted away from presentations — risky bet,Early adopters of narrative decks,3,5,5,4.3
AI Presentations,PopAi,Freemium,popai.pro,"AI workspace: chat with docs, generate slides and images",Free; from $10/mo,No,Cheap all-in-one doc chat + slides,Master of none,Students and generalists,4,7,6,5.7
AI Presentations,Presentations.AI,Freemium,presentations.ai,ChatGPT-style deck generation with brand sync and templates,Free; from $10/mo,No,Anti-fragile templates; brand kits,Newer player; export fidelity,SMB pitch decks,4,7,6,5.7
AI Presentations,Slidesgo,Freemium,slidesgo.com,Huge template library (Freepik) with an AI presentation maker,Free; Premium ~$5/mo,No,Massive template variety; cheap,AI maker is basic,Teachers and template lovers,3,8,5,5.3
AI Presentations,Slidev,Open source (GitHub),github.com/slidevjs/slidev,Markdown-based developer presentation framework (Vue-powered),Free,Yes — Claude/Claude Code writes Slidev markdown decks directly,Decks as code; version control; live coding,Developers only; no GUI design,Developer talks and tech demos,8,10,7,8.3
AI Presentations,Marp,Open source (GitHub),github.com/marp-team/marp,Markdown-to-slides ecosystem with VS Code integration and PDF export,Free,Yes — Claude generates Marp markdown perfectly,"Simple, scriptable, CI-friendly",Plain aesthetics out of box,Docs-as-code teams,7,10,6,7.7
AI Presentations,reveal.js,Open source (GitHub),github.com/hakimel/reveal.js,The classic HTML presentation framework,Free,Yes — Claude writes reveal.js HTML decks,Full web power in slides; mature,HTML/CSS knowledge needed,Web developers,6,10,6,7.3
AI Presentations,Presenton,Open source (GitHub),github.com/presenton/presenton,Self-hosted open-source AI presentation generator (Gamma alternative),Free (self-host) + your API keys,Yes — bring Anthropic API key,"Private Gamma-style generation; your keys, your data",Young project; self-host effort,Teams wanting private AI deck generation,6,9,6,7.0
AI Graphic Design,Canva,Freemium,canva.com,All-in-one design platform with Magic Studio AI suite,Free; Pro $15/mo,Yes — official Canva connector/MCP for Claude,Easiest design tool; AI everywhere; huge templates,Pro designers find it limiting,Non-designers and SMBs,9,8,9,8.7
AI Graphic Design,Figma,Freemium,figma.com,Collaborative interface design with AI features and Figma Make,Free; from $16/user/mo,Yes — official Figma MCP server (Dev Mode),Industry standard UI design; Claude can read designs via MCP,Learning curve; cost stacks per editor,Product designers and dev teams,9,7,9,8.3
AI Graphic Design,Microsoft Designer,Free,designer.microsoft.com,"Free AI graphic design app (social posts, invites) from Microsoft",Free (M365 perks),No,Free; DALL-E powered; easy,Basic vs Canva; consumer-grade,Quick free social graphics,4,9,5,6.0
AI Graphic Design,Framer,Freemium,framer.com,AI website design/builder with production-quality output,Free; from $10/mo,Partial — community MCP/plugins,Stunning sites without code; AI page gen,Websites only; CMS limits by tier,Designers shipping marketing sites,6,7,8,7.0
AI Graphic Design,Uizard,Freemium,uizard.io,AI UI mockups: text/screenshot/sketch to editable designs,Free; Pro $12/mo,No,Fastest wireframe-to-mockup path,Output needs design polish; Miro acquisition transition,PMs and founders mocking up ideas,4,7,6,5.7
AI Graphic Design,AutoDraw,Free,autodraw.com,Google's free sketch-recognition drawing toy,Free,No,Free and fun,Very basic,Quick icons and doodles,2,10,3,5.0
AI Graphic Design,Design.com,Freemium,design.com,AI logo and brand-kit generator,Free previews; from ~$19,No,Quick logo + brand kit,Generic results,Microbusiness branding,3,6,4,4.3
AI Graphic Design,Penpot,Open source (GitHub),github.com/penpot/penpot,"Open-source Figma alternative (design + prototyping), self-hostable",Free; paid cloud options,Partial — community MCP servers emerging,Free unlimited design; SVG-native; no lock-in,Smaller plugin ecosystem than Figma,Teams wanting open-source design,6,10,7,7.7
AI Graphic Design,Excalidraw,Open source (GitHub),github.com/excalidraw/excalidraw,Open-source virtual whiteboard with hand-drawn style + AI diagram gen,Free; Plus $6/mo,Yes — Claude artifacts/MCP can emit Excalidraw/Mermaid,Instant diagrams; text-to-diagram AI; free,Sketch style only,Engineers diagramming ideas,7,10,7,8.0
AI Graphic Design,GIMP,Open source (GitHub),gimp.org,Free Photoshop alternative (AI via community plugins),Free,No,Free raster powerhouse; scriptable,Dated UX; AI only via plugins,Budget photo editing,3,10,5,6.0
AI Email Assistants,Superhuman,Paid,superhuman.com,"Speed-focused email client with AI triage, replies and follow-ups",From $25/mo (Grammarly-owned),No,Fastest email UX; great AI triage,Expensive; Gmail/Outlook only,Executives living in email,6,4,8,6.0
AI Email Assistants,Shortwave,Freemium,shortwave.com,AI-native Gmail client with assistant that searches/writes/schedules,Free; from $14/mo,Yes — MCP client support; Claude-friendly,Powerful AI search & agents; MCP-forward,Gmail only,Gmail power users,8,7,8,7.7
AI Email Assistants,MailMaestro,Paid,maestrolabs.com,"AI email copilot for Outlook/Gmail (summaries, drafts, scheduling)",From ~$15/mo,No,Strong Outlook support; enterprise-friendly,"Add-in, not a client",Outlook-centric companies,5,6,6,5.7
AI Email Assistants,Fyxer,Paid,fyxer.com,"AI executive assistant: drafts replies, organises inbox, meeting notes",From $30/mo,No,Set-and-forget triage + drafting; learns your tone,Pricey; less control,Founders/execs drowning in email,5,5,7,5.7
AI Email Assistants,Gemini in Gmail,Paid,workspace.google.com,"Google's native AI inside Gmail: summarise, draft, smart replies",Included in Workspace Business/AI plans,No,Zero-setup if on Workspace,Generic drafting; Google-only,Google Workspace orgs,6,7,6,6.3
AI Email Assistants,Friday,Freemium,friday-app.com,Lightweight AI email helper (drafting/replies),Free; ~$10/mo,No,Cheap and simple,Obscure; limited features (verify vendor),Casual inbox help,2,7,4,4.3
AI Email Assistants,Clippit.AI,Freemium,clippit.ai,AI email/writing helper (listed in roundup; small vendor),~$10/mo,No,Inexpensive,Very small product; verify before relying on it,Light users,2,7,3,4.0
AI Email Assistants,Inbox Zero,Open source (GitHub),github.com/elie222/inbox-zero,"Open-source AI email assistant: auto-triage, rules, bulk unsubscribe",Free self-host; cloud from $16/mo,Yes — works with Anthropic API keys,Open source; powerful automation rules,Gmail-first; self-host setup,Privacy-minded inbox automation,7,9,7,7.7
